467	Occupancy H HeLa_CX_3h_R6
468	Ratio H/L HeLa_CX_4h_R1
469	Ratio H/L HeLa_CX_4h_R1___1
470	Ratio H/L HeLa_CX_4h_R1___2
471	Ratio H/L HeLa_CX_4h_R1___3
472	Ratio H/L normalized HeLa_CX_4h_R1
473	Ratio H/L normalized HeLa_CX_4h_R1___1
474	Ratio H/L normalized HeLa_CX_4h_R1___2
475	Ratio H/L normalized HeLa_CX_4h_R1___3
476	Ratio H/L unmod. pep. HeLa_CX_4h_R1
477	Ratio H/L localized HeLa_CX_4h_R1
478	Ratio H/L nmods HeLa_CX_4h_R1
479	Ratio H/L variability [%] HeLa_CX_4h_R1
480	Ratio H/L count HeLa_CX_4h_R1
481	Ratio H/L iso-count HeLa_CX_4h_R1
482	Ratio H/L type HeLa_CX_4h_R1
483	Occupancy L HeLa_CX_4h_R1
484	Occupancy H HeLa_CX_4h_R1
485	Ratio H/L HeLa_CX_4h_R2
486	Ratio H/L HeLa_CX_4h_R2___1
487	Ratio H/L HeLa_CX_4h_R2___2
488	Ratio H/L HeLa_CX_4h_R2___3
489	Ratio H/L normalized HeLa_CX_4h_R2
490	Ratio H/L normalized HeLa_CX_4h_R2___1
491	Ratio H/L normalized HeLa_CX_4h_R2___2
492	Ratio H/L normalized HeLa_CX_4h_R2___3
493	Ratio H/L unmod. pep. HeLa_CX_4h_R2
494	Ratio H/L localized HeLa_CX_4h_R2
495	Ratio H/L nmods HeLa_CX_4h_R2
496	Ratio H/L variability [%] HeLa_CX_4h_R2
497	Ratio H/L count HeLa_CX_4h_R2
498	Ratio H/L iso-count HeLa_CX_4h_R2
499	Ratio H/L type HeLa_CX_4h_R2
500	Occupancy L HeLa_CX_4h_R2
501	Occupancy H HeLa_CX_4h_R2
502	Ratio H/L HeLa_CX_4h_R3
503	Ratio H/L HeLa_CX_4h_R3___1
504	Ratio H/L HeLa_CX_4h_R3___2
505	Ratio H/L HeLa_CX_4h_R3___3
506	Ratio H/L normalized HeLa_CX_4h_R3
507	Ratio H/L normalized HeLa_CX_4h_R3___1
508	Ratio H/L normalized HeLa_CX_4h_R3___2
509	Ratio H/L normalized HeLa_CX_4h_R3___3
510	Ratio H/L unmod. pep. HeLa_CX_4h_R3
511	Ratio H/L localized HeLa_CX_4h_R3
512	Ratio H/L nmods HeLa_CX_4h_R3
513	Ratio H/L variability [%] HeLa_CX_4h_R3
514	Ratio H/L count HeLa_CX_4h_R3
515	Ratio H/L iso-count HeLa_CX_4h_R3
516	Ratio H/L type HeLa_CX_4h_R3
